Y        X
2.192770 12
3.05164 16
1.308333 12
1.743969 12
2.733068 12
1.862529 12
1.911023 12
2.420368 17
2.445819 12
2.110213 9
2.284421 17
2.265921 17
2.6483 15
2.248129 15
2.290513 12
2.888147 17
2.918311 12
2.915606 15
1.993339 15
1.90806 15
2.643334 15
1.953028 12
2.510412 15
2.119863 12
2.809403 12
2.101692 15
2.937043 15
2.745346 14
2.358965 12
2.701361 13
1.932970 16
1.795087 15
2.032088 12
2.733068 12
2.081938 12
2.770712 12
2.184927 12
3.278653 14
3.105483 15
2.721953 15
2.328253 12
2.551006 12
2.157559 12
2.599722 12
2.764431 12
1.983756 12
2.157559 12
3.281663 12
3.480625 15
2.486572 12
2.628285 15
0.7419373 8
1.570697 12
2.586259 16
3.309813 17
2.567254 15
2.324347 16
1.918392 12
2.851284 12
2.467252 12
2.802148 13
2.384165 12
2.445819 12
1.449269 11
2.227862 14
1.512927 13
2.634762 12
2.956472 13
1.752672 10
3.075929 15
2.511224 15
2.391511 15
3.467297 12
2.329227 15
2.012233 15
2.668616 13
2.248129 16
1.859418 15
2.211566 8
2.733068 12
2.157559 11
2.184927 13
0.1310283 9
2.100469 9
1.444563 12
1.470176 12
3.179719 11
2.091864 12
2.547099 13
2.718001 15
2.347558 15
2.047693 8
2.599722 13
2.138889 10
3.491038 15
2.334084 8
2.039921 11
1.752672 9
2.583998 12
2.312535 12
1.752672 12
2.242835 12
2.280339 12
2.668616 13
3.516013 14
2.668616 15
1.975469 15
2.088153 12
1.057790 12
2.222459 12
2.403335 12
2.157559 12
2.597491 14
1.163151 9
2.089392 12
3.630721 15
2.793004 15
1.391282 10
1.625311 10
2.823163 12
2.847232 13
2.550226 15
3.152309 12
2.806386 16
1.068153 12
2.791165 13
1.490654 17
3.021887 11
2.951780 13
1.832581 12
1.796747 11
2.504709 12
1.918392 14
0.737164 12
1.654411 12
0.5128236 12
2.66375 18
2.403335 17
2.786245 15
2.794228 10
2.036012 12
2.225704 12
2.445819 12
3.056357 12
2.381396 12
3.194173 12
1.932970 12
1.791759 13
2.204972 12
2.970927 16
4.083284 15
2.749192 16
2.338917 15
1.662030 9
2.129421 14
2.823163 16
2.033398 12
1.884035 12
2.573375 12
3.650658 15
2.412336 11
2.937573 13
2.312535 10
2.924236 16
2.824351 12
2.263844 11
2.239645 12
1.795087 15
2.417698 15
2.221375 12
2.536075 14
2.969388 13
2.489894 12
1.593309 14
1.629241 8
0.7323679 10
2.298577 14
2.009555 12
2.308567 12
2.263844 12
1.60342 12
2.639771 12
1.972691 14
1.217876 12
1.648659 12
2.687167 12
2.851284 13
2.996732 16
2.937043 18
2.313525 16
2.157559 12
2.149434 12
2.100469 12
1.906575 12
2.969388 16
2.107786 12
1.423108 12
1.446919 12
1.665818 12
1.658228 12
1.793425 12
2.100469 13
2.749192 13
2.002830 12
2.211566 12
2.668616 12
2.796671 12
2.358965 12
2.445819 13
2.745346 12
2.22029 12
2.284421 12
2.014903 12
2.452728 13
2.494857 12
0.9820785 10
2.580974 12
0.9593502 9
1.911023 12
1.835776 12
2.263844 12
2.668616 15
2.328253 14
2.88759 18
1.906575 12
2.013569 12
2.109000 12
2.557227 12
1.832581 11
2.507157 15
2.209373 12
1.665818 11
1.89762 12
1.556037 12
2.860485 17
2.189416 14
2.400619 17
2.869035 16
2.446685 12
2.592265 12
0.7178398 12
2.170196 12
2.486572 11
0.2851789 7
2.486572 12
3.432373 20
2.652537 15
2.583998 12
2.374906 12
2.302585 12
2.119863 11
1.153732 15
2.100469 12
1.719189 11
2.947592 12
2.000128 15
2.190536 12
2.70538 13
2.060514 12
1.607436 8
2.107786 12
3.039749 16
1.406097 15
2.100469 12
2.551006 15
3.096482 16
2.857619 16
1.566530 12
2.211566 9
3.080533 14
2.718660 12
1.10194 9
1.941615 9
2.074429 9
2.468947 14
2.364620 14
1.574846 15
2.583243 10
2.408745 12
1.915451 15
2.668616 12
2.417698 12
2.490723 10
2.041220 12
2.222459 12
1.479329 12
1.798404 11
1.609438 12
2.400619 12
2.764431 12
2.65956 12
2.660959 13
1.532557 12
3.074081 20
2.537657 12
2.074429 12
1.007958 12
2.774462 14
2.052841 13
2.310553 16
2.655352 15
1.791759 8
1.919859 12
2.414126 12
2.445819 13
2.358965 13
2.599722 12
2.593013 15
2.403335 12
1.793425 12
2.004179 12
1.283708 12
2.335052 15
2.444085 12
1.990610 12
1.735189 8
2.312535 12
2.580974 13
2.061787 13
2.036012 12
2.284421 16
3.005187 15
2.282382 20
1.962908 12
2.016235 10
2.675527 12
2.107786 12
1.843719 9
2.525729 14
2.017566 12
2.020222 15
2.794228 12
2.157559 11
2.358965 12
2.028148 8
1.975469 10
2.486572 13
2.701361 13
2.995732 17
1.903599 12
2.433613 12
2.358965 15
2.613007 16
2.37862 12
2.719979 15
2.21047 12
3.449988 18
2.962692 17
2.286456 15
3.138966 15
2.984166 16
2.430098 19
2.080691 17
3.302113 12
2.753024 12
2.871868 12
2.749192 10
2.525729 12
2.665143 14
3.093766 15
1.671473 12
2.646884 10
2.352327 15
2.266958 14
2.662355 15
2.839663 14
1.987874 10
1.747459 14
2.486572 11
2.590017 11
2.501436 20
1.900614 13
3.282789 15
2.486572 14
2.861629 16
2.37862 12
2.415914 13
2.521721 12
4.266195 13
2.775086 15
2.000128 15
2.309561 17
2.616666 15
2.457021 13
2.905260 12
2.466403 12
2.199444 8
2.668616 12
2.328253 12
2.403335 12
2.38232 12
3.371425 13
3.569814 15
2.580974 14
3.086487 15
1.943049 14
2.764431 12
2.956472 12
1.719189 12
2.264883 12
2.742130 20
2.981126 17
2.845491 12
2.780061 15
2.894253 13
2.656055 15
1.752672 14
1.865629 14
2.390596 15
4.020339 15
3.610107 18
3.755135 17
2.626117 20
2.900872 17
3.100993 15
2.60343 19
2.962175 12
1.89762 11
1.862529 12
2.446685 12
2.170196 8
2.122262 12
2.293544 12
2.354228 12
2.038620 12
2.128232 12
2.238580 12
2.510412 14
2.65956 12
2.964757 17
2.924236 10
2.456164 12
2.069391 12
2.503892 12
2.290513 12
2.7985 12
2.132982 13
2.962692 15
1.953028 8
2.851284 15
2.980619 16
3.218876 17
1.954445 9
2.556452 11
2.406044 13
2.358965 10
2.263844 12
1.763017 12
1.585145 14
1.740466 13
2.83615 14
2.502255 12
2.431857 17
3.092859 16
2.653242 12
3.028683 15
2.343727 12
2.567254 12
2.013569 15
2.701361 12
2.737609 12
3.117065 12
2.706716 12
2.668616 15
2.360854 13
1.887070 15
2.74084 16
2.525729 12
3.066191 15
2.136531 11
3.012589 12
2.874129 12
2.018895 12
2.733068 13
2.858766 13
2.424803 15
2.577182 15
2.780681 15
1.82777 15
2.755570 12
3.095125 15
3.237894 12
3.427515 12
2.764431 12
2.919931 12
1.800058 9
2.964757 13
2.544747 12
2.863343 12
2.78192 12
2.794228 12
2.16791 12
2.972975 16
2.128232 12
2.474014 16
2.249184 13
2.987196 15
3.074081 13
2.467252 15
3.378611 13
2.563410 12
1.486140 12
1.985131 12
2.291524 12
2.118662 12
2.483239 12
2.291524 12
2.449279 12
1.512927 9
2.823163 12
3.868489 12
1.874874 12
3.11795 15
2.885917 17
3.179719 15
2.599722 14
2.486572 12
2.764431 13
3.158701 12
2.032088 11
2.340844 12
2.2895 12
2.749192 12
2.470639 12
2.84955 12
2.339881 12
0.7884574 10
1.401183 12
1.809927 12
1.840550 10
1.752672 12
2.251292 12
1.829376 12
2.512846 15
3.175133 17
1.386294 10
1.423108 9
3.510351 12
2.157559 15
0.4510756 11
1.430311 12
2.787477 18
3.292870 15
2.151762 16
2.639057 15
3.044999 15
2.805782 15
2.422144 17
2.309561 9
2.238580 11
2.544747 13
3.585184 15
2.706716 12
2.010895 12
2.70069 12
0.8241754 10
2.002830 12
2.018895 12
1.589235 8
1.860975 15
2.633327 13
2.039921 10
1.671473 12
1.832581 9
2.620311 17
2.685805 12
2.200552 11
2.611539 12
2.634762 16
2.523326 12
1.983756 12
2.202765 15
2.214846 15
2.411439 15
1.153732 15
2.054124 12
2.100469 11
2.487404 12
2.270062 9
1.662030 13
2.962692 12
2.580217 12
2.345645 18
2.157559 12
2.803966 15
2.486572 17
2.563410 15
3.303952 18
1.65058 19
2.476538 17
2.270062 17
2.170196 14
2.429218 19
2.954389 18
3.621136 15
2.209373 16
1.474763 14
2.770086 15
2.670002 14
1.998774 13
3.218876 15
2.474856 15
2.1471 11
2.793004 16
2.541602 15
1.891605 15
3.993787 19
2.851284 16
1.800058 15
2.437990 15
2.582487 17
2.639057 11
2.127041 12
2.473171 15
1.667707 12
1.510722 16
2.525729 16
2.075684 12
2.860485 14
2.668616 15
3.131573 15
2.511224 10
1.819699 12
1.819699 12
3.107274 10
2.544747 12
2.424803 15
2.211566 12
1.637053 11
2.265921 12
1.870263 9
1.867176 12
2.368373 12
2.492379 12
2.306577 12
2.656757 11
2.800933 13
3.170106 17
2.464704 15
2.727199 16
2.413232 17
2.484907 9
2.655352 12
1.975469 12
2.207175 12
2.100469 8
2.238580 16
2.413232 15
3.420673 13
1.423108 12
2.599722 12
1.832581 11
2.238580 12
2.420368 12
1.811562 9
2.230014 16
2.483239 13
2.005526 12
2.100469 13
1.943049 12
2.014903 9
1.832581 9
2.136531 11
3.749504 10
2.199444 12
2.611539 12
2.939691 15
2.098018 12
2.525729 18
3.063391 15
2.280339 14
2.566487 10
1.932970 12
2.486572 13
1.994700 12
2.95491 12
2.383243 12
2.460443 13
2.393339 13
2.467252 14
1.951608 6
1.89762 8
2.417698 12
2.424803 14
2.349469 12
2.733068 15
2.636912 15
2.017566 12
2.686486 14
2.634762 10
2.403335 14
1.90806 15
1.717395 11
2.403335 11
2.830268 12
1.965713 12
2.222459 12
2.581731 11
2.148268 8
3.073619 12
2.394252 15
2.878637 15
1.752672 12
2.364620 11
3.210440 12
2.388763 13
1.735189 16
2.243896 12
2.140066 11
2.057963 12
2.583998 16
2.563410 15
3.199489 15
3.109953 11
2.046402 12
2.810005 12
0.722706 10
2.571849 12
2.379546 13
2.541602 19
2.947067 13
2.453588 10
2.518503 12
2.140066 13
2.777576 16
2.347558 13
2.649715 13
1.975469 14
2.675527 15
1.733424 12
1.633154 12
2.867899 16
1.937302 14
2.314514 16
2.876386 11
2.623944 12
2.701361 15
2.189416 15
2.203869 12
2.512846 12
2.678965 12
2.474856 13
2.505526 12
2.775086 12
2.453588 12
2.148268 9
2.018895 12
2.446685 12
1.640937 13
2.317474 15
2.668616 15
3.044999 19
1.629241 11
2.634762 12
1.688249 12
2.971952 12
3.074081 12
2.503074 14
2.613007 12
2.470639 15
1.391282 13
2.161022 16
3.010621 15
1.876407 14
2.1471 12
2.599722 12
2.373975 12
1.690096 12
2.356126 13
3.159126 16
3.116178 15
2.463002 15
3.034472 14
2.929592 12
3.195402 13
1.018847 13
3.085573 12
2.292535 15
2.312535 12
2.945491 12
3.005187 12
1.682688 12
0.8372475 13
2.445819 11
1.368639 12
1.517323 9
2.1471 12
2.175887 10
2.255493 12
2.304583 12
2.355178 12
2.095561 16
2.431857 11
2.457878 16
2.078191 12
2.76569 12
1.832581 7
1.593309 12
1.202972 9
2.242835 12
2.546315 12
2.327278 12
2.270062 15
2.525729 14
1.589235 13
2.525729 12
3.013572 12
2.858766 15
1.870263 12
2.525729 12
2.379546 12
2.371178 14
2.404239 16
2.904165 15
1.771557 16
2.445819 13
1.437463 10
1.495149 15
1.819699 12
3.036394 13
3.11795 12
2.039921 12
2.568022 12
2.981126 14
2.557227 14
2.733068 12
2.288486 12
2.416806 12
2.847232 14
2.629728 15
2.287471 15
2.826722 15
3.005187 15
2.764431 15
1.591274 12
2.039921 11
1.702928 11
2.184927 12
2.668616 12
2.179287 8
3.092405 17
2.457878 12
1.975469 12
2.16791 16
0.8586616 8
2.033398 15
2.606387 12
2.682390 12
2.555676 8
2.873565 12
2.16791 15
2.228939 16
4.305955 19
3.110399 15
1.729884 19
2.520917 12
3.1307 13
2.878637 15
2.119863 16
2.266958 13
2.158715 12
1.934416 15
3.159550 12
2.383243 12
2.764431 15
2.641910 13
2.93492 12
0.65752 6
1.819699 16
2.264883 15
2.152924 12
2.373044 12
1.769855 12
2.240710 12
0.7275486 10
0.8064759 12
1.332366 11
2.414126 11
3.034472 12
2.936513 12
2.16791 20
2.196113 13
2.129421 10
1.832581 12
2.026832 13
2.765060 12
2.214846 12
2.529721 16
2.668616 12
2.207175 14
1.673351 12
1.52388 12
2.100469 14
2.199444 12
0.7608058 9
2.170196 12
2.100469 9
1.938742 12
2.343727 12
2.312535 12
2.312535 12
1.86408 10
2.263844 12
3.113515 15
2.039921 12
2.396075 12
2.687847 16
2.583998 15
1.906575 13
2.655352 15
1.678964 12
2.520113 10
2.445819 15
2.65956 12
2.129421 12
2.118662 12
2.200552 14
1.845300 12
2.590017 10
2.563410 12
0.746688 12
1.617406 15
1.94591 12
2.838493 12
2.461297 17
2.596746 15
1.545433 15
2.707383 15
0.8020016 12
2.600465 12
2.829678 15
1.465568 12
2.076938 9
2.587764 10
2.561868 12
1.870263 12
2.100469 10
1.832581 9
2.021548 12
2.095561 12
2.012233 9
1.337629 15
2.424803 15
1.975469 9
2.157559 12
1.308333 12
2.104134 13
2.412336 11
1.902108 13
3.519277 16
2.621766 12
2.059239 15
2.855895 15
3.75021 19
2.990217 12
2.322388 12
1.89762 12
2.715357 12
2.590017 13
2.100469 13
2.263844 15
1.860975 11
2.156403 12
2.525729 12
2.981126 13
2.519308 13
2.211566 12
2.400619 12
2.488234 12
2.599722 12
2.355178 15
1.870263 15
2.863343 15
2.619583 12
2.668616 12
1.965713 12
2.012233 12
1.781709 12
2.497329 12
2.148268 12
2.878637 12
1.665818 15
2.142416 17
2.255493 12
2.837323 17
1.859418 13
1.695616 15
2.736962 14
2.956472 12
2.710713 16
2.352327 12
2.572612 14
1.566530 8
2.028148 16
2.344686 20
2.425687 12
2.080691 20
1.551809 10
2.799717 17
1.004302 15
2.101692 12
0.9282193 12
3.528417 15
2.53449 15
1.029619 10
1.437463 11
1.381282 12
2.516082 16
2.211566 12
1.943049 12
3.654029 19
2.426571 16
2.715357 8
1.589235 11
